DATE,USACPIALLMINMEI_NBD19821001
1967-10-01,34.73361
1968-01-01,35.14344
1968-04-01,35.55328
1968-07-01,35.96311
1968-10-01,36.37295
1969-01-01,36.98770
1969-04-01,37.50000
1969-07-01,38.01230
1969-10-01,38.62705
1970-01-01,39.13934
1970-04-01,39.75410
1970-07-01,40.16393
1970-10-01,40.77869
1971-01-01,40.98361
1971-04-01,41.59836
1971-07-01,41.80328
1971-10-01,42.11066
1972-01-01,42.41803
1972-04-01,42.72541
1972-07-01,43.13525
1972-10-01,43.54508
1973-01-01,44.36475
1973-04-01,45.28689
1973-07-01,46.31148
1973-10-01,47.33607
1974-01-01,48.97541
1974-04-01,50.20492
1974-07-01,51.84426
1974-10-01,53.17623
1975-01-01,53.99590
1975-04-01,54.91803
1975-07-01,55.94262
1975-10-01,56.86475
1976-01-01,57.27459
1976-04-01,58.19672
1976-07-01,59.01639
1976-10-01,59.63115
1977-01-01,60.96311
1977-04-01,62.19262
1977-07-01,62.90984
1977-10-01,63.62705
1978-01-01,64.95902
1978-04-01,66.80328
1978-07-01,68.13525
1978-10-01,69.36475
1979-01-01,71.51639
1979-04-01,74.07787
1979-07-01,76.43443
1979-10-01,78.58607
1980-01-01,82.06967
1980-04-01,84.73361
1980-07-01,86.06557
1980-10-01,88.42213
1981-01-01,90.67623
1981-04-01,92.82787
1981-07-01,95.49180
1981-10-01,96.31148
1982-01-01,96.82377
1982-04-01,99.38525
1982-07-01,100.30738
1982-10-01,100.00000
1983-01-01,100.30738
1983-04-01,101.94672
1983-07-01,103.17623
1983-10-01,103.79098
1984-01-01,105.12295
1984-04-01,106.25000
1984-07-01,107.58197
1984-10-01,107.88934
1985-01-01,109.01639
1985-04-01,110.24590
1985-07-01,110.96311
1985-10-01,111.98770
1986-01-01,111.47541
1986-04-01,112.19262
1986-07-01,112.90984
1986-10-01,113.21721
1987-01-01,114.85656
1987-04-01,116.29098
1987-07-01,117.82787
1987-10-01,118.23770
1988-01-01,119.36475
1988-04-01,120.90164
1988-07-01,122.74590
1988-10-01,123.46311
1989-01-01,125.30738
1989-04-01,127.15164
1989-07-01,128.07377
1989-10-01,129.20082
1990-01-01,131.86475
1990-04-01,133.09426
1990-07-01,135.96311
1990-10-01,137.09016
1991-01-01,138.31967
1991-04-01,139.34426
1991-07-01,140.57377
1991-10-01,141.29098
1992-01-01,142.72541
1992-04-01,143.64754
1992-07-01,144.77459
1992-10-01,145.38934
1993-01-01,147.13115
1993-04-01,147.95082
1993-07-01,148.66803
1993-10-01,149.38525
1994-01-01,150.81967
1994-04-01,151.63934
1994-07-01,153.07377
1994-10-01,153.38115
1995-01-01,155.12295
1995-04-01,156.25000
1995-07-01,156.96721
1995-10-01,157.27459
1996-01-01,159.52869
1996-04-01,160.55328
1996-07-01,161.68033
1996-10-01,162.50000
1997-01-01,163.93443
1997-04-01,164.24180
1997-07-01,165.16393
1997-10-01,165.26639
1998-01-01,166.18852
1998-04-01,167.00820
1998-07-01,167.62295
1998-10-01,167.93033
1999-01-01,169.05738
1999-04-01,170.28689
1999-07-01,172.02869
1999-10-01,172.43852
2000-01-01,175.40984
2000-04-01,176.63934
2000-07-01,177.97131
2000-10-01,178.27869
2001-01-01,180.53279
2001-04-01,182.37705
2001-07-01,182.68443
2001-10-01,181.04508
2002-01-01,183.19672
2002-04-01,184.32377
2002-07-01,185.45082
2002-10-01,185.34836
2003-01-01,188.72951
2003-04-01,188.21721
2003-07-01,189.75410
2003-10-01,188.83197
2004-01-01,192.00820
2004-04-01,194.36475
2004-07-01,194.56967
2004-10-01,194.97951
2005-01-01,198.05328
2005-04-01,199.28279
2005-07-01,203.68852
2005-10-01,201.63934
2006-01-01,204.71311
2006-04-01,207.88934
2006-07-01,207.88934
2006-10-01,206.76230
2007-01-01,210.40164
2007-04-01,213.47541
2007-07-01,213.61680
2007-10-01,215.20082
2008-01-01,218.77869
2008-04-01,224.19570
2008-07-01,224.16291
2008-10-01,215.39754
2009-01-01,217.93955
2009-04-01,220.99693
2009-07-01,221.27971
2009-10-01,221.25922
2010-01-01,222.98258
2010-04-01,223.32480
2010-07-01,223.81045
2010-10-01,224.56865
2011-01-01,228.96209
2011-04-01,231.27254
2011-07-01,232.46824
2011-10-01,231.22131
2012-01-01,235.03279
2012-04-01,235.12090
2012-07-01,237.09734
2012-10-01,235.24693
2013-01-01,238.49693
2013-04-01,239.24590
2013-07-01,239.90676
2013-10-01,238.77971
2014-01-01,242.10348
2014-04-01,244.20389
2014-07-01,243.88422
2014-10-01,240.58607
2015-01-01,241.92520
2015-04-01,244.50615
2015-07-01,243.79611
2015-10-01,242.34119
2016-01-01,243.98770
2016-04-01,246.94467
2016-07-01,247.36475
2016-10-01,247.36885
2017-01-01,249.79611
2017-04-01,250.97848
2017-07-01,252.88832
2017-10-01,252.58607
2018-01-01,255.69057
2018-04-01,258.18545
2018-07-01,258.64652
2018-10-01,257.41086
2019-01-01,260.45287
2019-04-01,262.44160
2019-07-01,263.07275
2019-10-01,263.29303
2020-01-01,264.46209
2020-04-01,264.13627
2020-07-01,266.68033
2020-10-01,266.87910
2021-01-01,271.39037
2021-04-01,278.37705
