DATE,CLF16OV
1967-10-01,78491
1968-01-01,78256
1968-04-01,79120
1968-07-01,78858
1968-10-01,79463
1969-01-01,80079
1969-04-01,80696
1969-07-01,81290
1969-10-01,81624
1970-01-01,82498
1970-04-01,82484
1970-07-01,82954
1970-10-01,83670
1971-01-01,83575
1971-04-01,83706
1971-07-01,84731
1971-10-01,85625
1972-01-01,86611
1972-04-01,87006
1972-07-01,87392
1972-10-01,87943
1973-01-01,88846
1973-04-01,89548
1973-07-01,89838
1973-10-01,90890
1974-01-01,91453
1974-04-01,91868
1974-07-01,92488
1974-10-01,92780
1975-01-01,93165
1975-04-01,93575
1975-07-01,94202
1975-10-01,94409
1976-01-01,95215
1976-04-01,95885
1976-07-01,96553
1976-10-01,97348
1977-01-01,98115
1977-04-01,99093
1977-07-01,99453
1977-10-01,100491
1978-01-01,101092
1978-04-01,102371
1978-07-01,102795
1978-10-01,103809
1979-01-01,104589
1979-04-01,104638
1979-07-01,105530
1979-10-01,106258
1980-01-01,106442
1980-04-01,106780
1980-07-01,107098
1980-10-01,107352
1981-01-01,108553
1981-04-01,108396
1981-07-01,108294
1981-10-01,108912
1982-01-01,109567
1982-04-01,110081
1982-07-01,110721
1982-10-01,111083
1983-01-01,110587
1983-04-01,111879
1983-07-01,112298
1983-10-01,112327
1984-01-01,112713
1984-04-01,113817
1984-07-01,113857
1984-10-01,114581
1985-01-01,115328
1985-04-01,114965
1985-07-01,115905
1985-10-01,116354
1986-01-01,117220
1986-04-01,118084
1986-07-01,118395
1986-10-01,118611
1987-01-01,119270
1987-04-01,119644
1987-07-01,120011
1987-10-01,120729
1988-01-01,120913
1988-04-01,121473
1988-07-01,121960
1988-10-01,122622
1989-01-01,123227
1989-04-01,123995
1989-07-01,123944
1989-10-01,124497
1990-01-01,125801
1990-04-01,125573
1990-07-01,125892
1990-10-01,126142
1991-01-01,126238
1991-04-01,126331
1991-07-01,126650
1991-10-01,126664
1992-01-01,127604
1992-04-01,128459
1992-07-01,128501
1992-10-01,128554
1993-01-01,128598
1993-04-01,129411
1993-07-01,129268
1993-10-01,129941
1994-01-01,130400
1994-04-01,130561
1994-07-01,131421
1994-10-01,131951
1995-01-01,132108
1995-04-01,131949
1995-07-01,132611
1995-10-01,132511
1996-01-01,133180
1996-04-01,133697
1996-07-01,134515
1996-10-01,135113
1997-01-01,135891
1997-04-01,136211
1997-07-01,136675
1997-10-01,137155
1998-01-01,137236
1998-04-01,137455
1998-07-01,138286
1998-10-01,138634
1999-01-01,138730
1999-04-01,139329
1999-07-01,139622
1999-10-01,140177
2000-01-01,142434
2000-04-01,142591
2000-07-01,142518
2000-10-01,143248
2001-01-01,143924
2001-04-01,143357
2001-07-01,143989
2001-10-01,144305
2002-01-01,144481
2002-04-01,144808
2002-07-01,145552
2002-10-01,145066
2003-01-01,146022
2003-04-01,147056
2003-07-01,146530
2003-10-01,146729
2004-01-01,146944
2004-04-01,147460
2004-07-01,147415
2004-10-01,148059
2005-01-01,148391
2005-04-01,149238
2005-07-01,149954
2005-10-01,150030
2006-01-01,150813
2006-04-01,151354
2006-07-01,151662
2006-10-01,152732
2007-01-01,153051
2007-04-01,153041
2007-07-01,153414
2007-10-01,153918
2008-01-01,153908
2008-04-01,154313
2008-07-01,154570
2008-10-01,154655
2009-01-01,154133
2009-04-01,154716
2009-07-01,153827
2009-10-01,153111
2010-01-01,153954
2010-04-01,153616
2010-07-01,153975
2010-10-01,153650
2011-01-01,153376
2011-04-01,153346
2011-07-01,154131
2011-10-01,153995
2012-01-01,154749
2012-04-01,155083
2012-07-01,155160
2012-10-01,155628
2013-01-01,155005
2013-04-01,155749
2013-07-01,155687
2013-10-01,155182
2014-01-01,156028
2014-04-01,155707
2014-07-01,156040
2014-10-01,156332
2015-01-01,156643
2015-04-01,157062
2015-07-01,156733
2015-10-01,158035
2016-01-01,159179
2016-04-01,158967
2016-07-01,159714
2016-10-01,159678
2017-01-01,160169
2017-04-01,160217
2017-07-01,161107
2017-10-01,160543
2018-01-01,161765
2018-04-01,162200
2018-07-01,161985
2018-10-01,163124
2019-01-01,163010
2019-04-01,163046
2019-07-01,163958
2019-10-01,164579
2020-01-01,162721
2020-04-01,159797
2020-07-01,160078
2020-10-01,160567
2021-01-01,160558
2021-04-01,161086
2021-07-01,.
